epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95391,2.9886,3.64091,3.35898,0.00333,1,0.06283,0.01756,2.93673,3.59878,3.71887,0,0,0
2,5.03465,2.83302,3.59755,3.05469,0.00333,1,0.60611,0.07532,2.90081,3.6746,3.64666,1.9604e-05,1.9604e-05,1.9604e-05
3,7.04717,2.7182,3.40018,2.25896,0.00333,1,0.595,0.07374,2.8865,3.71287,3.55733,3.8416e-05,3.8416e-05,3.8416e-05
4,8.82785,2.5275,3.61679,2.67068,0.00333,1,0.595,0.06641,3.07141,3.38049,3.56849,5.6436e-05,5.6436e-05,5.6436e-05
5,11.0402,2.48166,3.48622,2.84357,0.00333,1,0.62,0.124,3.0209,3.4449,3.35886,7.3664e-05,7.3664e-05,7.3664e-05
6,13.2032,3.22066,3.79271,2.97565,0.00333,1,0.995,0.16014,2.99668,3.30172,3.30632,9.01e-05,9.01e-05,9.01e-05
7,15.5415,2.44226,2.97441,2.25389,0.00333,1,0.995,0.24942,2.89048,3.39956,3.19855,0.000105744,0.000105744,0.000105744
8,17.6644,2.64112,3.05029,2.46978,0.00333,1,0.995,0.24871,2.82259,3.40935,3.12837,0.000120596,0.000120596,0.000120596
9,19.8654,2.20692,3.20165,2.05622,0.00333,1,0.995,0.24877,2.74,3.3108,2.97142,0.000134656,0.000134656,0.000134656
10,22.2578,2.04172,3.08853,1.91693,0.00333,1,0.995,0.25017,2.667,3.28374,2.76408,0.000147924,0.000147924,0.000147924
11,24.4986,2.17006,3.36609,2.10182,0.00333,1,0.995,0.30023,2.64382,3.27022,2.64789,0.0001604,0.0001604,0.0001604
12,26.6744,1.47076,2.79751,1.4173,0.00333,1,0.995,0.30041,2.59912,3.23042,2.47875,0.000172084,0.000172084,0.000172084
13,28.7236,1.84983,2.29015,1.73321,0.00333,1,0.995,0.24991,2.6148,3.21433,2.44446,0.000182976,0.000182976,0.000182976
14,30.4992,1.75778,2.70441,1.91178,0.00333,1,0.995,0.30015,2.52968,3.13134,2.53629,0.000193076,0.000193076,0.000193076
15,32.5408,1.52321,2.81533,1.92064,0.00333,1,0.995,0.3013,2.40087,3.24867,2.66928,0.000202384,0.000202384,0.000202384
16,34.442,1.63188,2.07163,1.52317,0.00333,1,0.995,0.25073,1.98102,3.49723,2.68777,0.0002109,0.0002109,0.0002109
17,36.2956,1.86699,2.40601,1.62717,0.00333,1,0.995,0.2997,1.92544,3.39178,2.57179,0.000218624,0.000218624,0.000218624
18,38.1459,1.54329,1.73922,1.48854,0.00333,1,0.995,0.2997,1.92544,3.39178,2.57179,0.000225556,0.000225556,0.000225556
19,40.1332,1.62876,2.29424,1.50621,0.00333,1,0.995,0.35006,1.88297,3.39862,2.49377,0.000231696,0.000231696,0.000231696
20,42.1118,1.3902,2.26742,1.46593,0.00333,1,0.995,0.35006,1.88297,3.39862,2.49377,0.000237044,0.000237044,0.000237044
21,44.4216,1.69134,1.6129,1.51425,0.00333,1,0.995,0.39864,1.78932,3.41941,2.43777,0.0002416,0.0002416,0.0002416
22,46.351,1.68567,2.34775,1.60012,0.00333,1,0.995,0.39864,1.78932,3.41941,2.43777,0.000245364,0.000245364,0.000245364
23,48.4153,1.9839,2.88842,2.05982,0.00333,1,0.995,0.29971,1.79003,3.45888,2.64068,0.000248336,0.000248336,0.000248336
24,50.3379,1.30875,1.56093,1.42632,0.00333,1,0.995,0.29971,1.79003,3.45888,2.64068,0.000250516,0.000250516,0.000250516
25,52.2396,1.25156,1.48736,1.09121,0.00333,1,0.995,0.30057,1.77597,3.52236,2.77557,0.000251904,0.000251904,0.000251904
26,54.0062,1.95347,3.11007,1.91909,0.00333,1,0.995,0.30057,1.77597,3.52236,2.77557,0.0002525,0.0002525,0.0002525
27,55.8493,1.0929,1.41325,1.38782,0.00333,1,0.995,0.22705,1.81197,3.43746,2.73837,0.000252304,0.000252304,0.000252304
28,57.9073,0.91055,1.37942,1.23839,0.00333,1,0.995,0.22705,1.81197,3.43746,2.73837,0.000251316,0.000251316,0.000251316
29,59.9474,1.06516,1.84765,1.16965,0.00333,1,0.995,0.13844,1.77243,3.42174,2.61528,0.000249536,0.000249536,0.000249536
30,62.0977,1.40377,2.17483,1.5572,0.00333,1,0.995,0.13844,1.77243,3.42174,2.61528,0.000246964,0.000246964,0.000246964
31,64.3143,1.75317,1.79829,1.55034,0.00333,1,0.995,0.12834,1.55451,3.58784,2.51673,0.0002436,0.0002436,0.0002436
